,date,Organisme,Station,Valeur,idPolair,timestamp,alerte
446927,2015-01-07 23:00:00+00:00,7,9,3.0,7009,1420671600.0,False
446928,2015-01-08 00:00:00+00:00,7,9,21.0,7009,1420675200.0,False
446929,2015-01-08 01:00:00+00:00,7,9,51.0,7009,1420678800.0,False
446930,2015-01-08 02:00:00+00:00,7,9,57.0,7009,1420682400.0,False
446931,2015-01-08 03:00:00+00:00,7,9,48.0,7009,1420686000.0,False
446932,2015-01-08 04:00:00+00:00,7,9,22.0,7009,1420689600.0,False
446933,2015-01-08 05:00:00+00:00,7,9,10.0,7009,1420693200.0,False
446934,2015-01-08 06:00:00+00:00,7,9,1.0,7009,1420696800.0,False
446935,2015-01-08 07:00:00+00:00,7,9,1.0,7009,1420700400.0,False
446936,2015-01-08 08:00:00+00:00,7,9,2.0,7009,1420704000.0,False
446937,2015-01-08 09:00:00+00:00,7,9,2.0,7009,1420707600.0,False
446938,2015-01-08 10:00:00+00:00,7,9,15.0,7009,1420711200.0,False
446939,2015-01-08 11:00:00+00:00,7,9,73.0,7009,1420714800.0,False
446940,2015-01-08 12:00:00+00:00,7,9,77.0,7009,1420718400.0,False
446941,2015-01-08 13:00:00+00:00,7,9,76.0,7009,1420722000.0,False
446942,2015-01-08 14:00:00+00:00,7,9,74.0,7009,1420725600.0,False
446943,2015-01-08 15:00:00+00:00,7,9,72.0,7009,1420729200.0,False
446944,2015-01-08 16:00:00+00:00,7,9,65.0,7009,1420732800.0,False
446945,2015-01-08 17:00:00+00:00,7,9,66.0,7009,1420736400.0,False
446946,2015-01-08 18:00:00+00:00,7,9,60.0,7009,1420740000.0,False
446947,2015-01-08 19:00:00+00:00,7,9,61.0,7009,1420743600.0,False
446948,2015-01-08 20:00:00+00:00,7,9,58.0,7009,1420747200.0,False
446949,2015-01-08 21:00:00+00:00,7,9,59.0,7009,1420750800.0,False
446950,2015-01-08 22:00:00+00:00,7,9,56.0,7009,1420754400.0,False
446951,2015-01-08 23:00:00+00:00,7,9,49.0,7009,1420758000.0,False
446952,2015-01-09 00:00:00+00:00,7,9,60.0,7009,1420761600.0,False
446953,2015-01-09 01:00:00+00:00,7,9,50.0,7009,1420765200.0,False
446954,2015-01-09 02:00:00+00:00,7,9,45.0,7009,1420768800.0,False
446955,2015-01-09 03:00:00+00:00,7,9,30.0,7009,1420772400.0,False
446956,2015-01-09 04:00:00+00:00,7,9,18.0,7009,1420776000.0,False
446957,2015-01-09 05:00:00+00:00,7,9,6.0,7009,1420779600.0,False
446958,2015-01-09 06:00:00+00:00,7,9,35.0,7009,1420783200.0,False
446959,2015-01-09 07:00:00+00:00,7,9,2.0,7009,1420786800.0,False
446960,2015-01-09 08:00:00+00:00,7,9,1.0,7009,1420790400.0,False
446961,2015-01-09 09:00:00+00:00,7,9,17.0,7009,1420794000.0,False
446962,2015-01-09 10:00:00+00:00,7,9,52.0,7009,1420797600.0,False
446963,2015-01-09 11:00:00+00:00,7,9,69.0,7009,1420801200.0,False
446964,2015-01-09 12:00:00+00:00,7,9,68.0,7009,1420804800.0,False
446965,2015-01-09 13:00:00+00:00,7,9,64.0,7009,1420808400.0,False
446966,2015-01-09 14:00:00+00:00,7,9,61.0,7009,1420812000.0,False
446967,2015-01-09 15:00:00+00:00,7,9,59.0,7009,1420815600.0,False
446968,2015-01-09 16:00:00+00:00,7,9,56.0,7009,1420819200.0,False
446969,2015-01-09 17:00:00+00:00,7,9,49.0,7009,1420822800.0,False
446970,2015-01-09 18:00:00+00:00,7,9,49.0,7009,1420826400.0,False
446971,2015-01-09 19:00:00+00:00,7,9,52.0,7009,1420830000.0,False
446972,2015-01-09 20:00:00+00:00,7,9,55.0,7009,1420833600.0,False
446973,2015-01-09 21:00:00+00:00,7,9,53.0,7009,1420837200.0,False
446974,2015-01-09 22:00:00+00:00,7,9,52.0,7009,1420840800.0,False
